iter	Passed	Remaining
843	6534	1207
844	6541	1199
845	6548	1192
846	6555	1184
847	6563	1176
848	6570	1168
849	6579	1161
850	6586	1153
851	6594	1145
852	6601	1137
853	6608	1129
854	6616	1122
855	6623	1114
856	6630	1106
857	6636	1098
858	6644	1090
859	6651	1082
860	6658	1074
861	6664	1066
862	6671	1059
863	6678	1051
864	6685	1043
865	6694	1035
866	6701	1028
867	6709	1020
868	6717	1012
869	6725	1004
870	6731	997
871	6739	989
872	6746	981
873	6752	973
874	6761	965
875	6767	957
876	6775	950
877	6782	942
878	6790	934
879	6797	926
880	6803	919
881	6812	911
882	6818	903
883	6826	895
884	6833	887
885	6842	880
886	6848	872
887	6856	864
888	6863	857
889	6871	849
890	6878	841
891	6885	833
892	6893	825
893	6900	818
894	6908	810
895	6915	802
896	6923	795
897	6931	787
898	6939	779
899	6946	771
900	6953	764
901	6961	756
902	6969	748
903	6976	740
904	6983	733
905	6991	725
906	6998	717
907	7007	709
908	7013	702
909	7023	694
910	7030	686
911	7039	679
912	7045	671
913	7054	663
914	7061	655
915	7069	648
916	7076	640
917	7084	632
918	7093	625
919	7101	617
920	7108	609
921	7116	602
922	7124	594
923	7131	586
924	7139	578
925	7146	571
926	7154	563
927	7161	555
928	7170	548
929	7177	540
930	7186	532
931	7192	524
932	7201	517
933	7208	509
934	7217	501
935	7224	493
936	7231	486
937	7238	478
938	7245	470
939	7253	462
940	7259	455
941	7268	447
942	7274	439
943	7283	432
944	7289	424
945	7296	416
946	7304	408
947	7310	400
948	7318	393
949	7324	385
950	7333	377
951	7339	370
952	7347	362
953	7354	354
954	7361	346
955	7368	339
956	7374	331
957	7382	323
958	7389	315
959	7397	308
960	7405	300
961	7413	292
962	7420	285
963	7427	277
964	7435	269
965	7441	261
966	7449	254
967	7455	246
968	7464	238
969	7470	231
970	7478	223
971	7485	215
972	7492	207
973	7499	200
974	7505	192
975	7514	184
976	7521	177
977	7530	169
978	7537	161
979	7545	153
980	7553	146
981	7562	138
982	7569	130
983	7577	123
984	7584	115
985	7592	107
986	7600	100
987	7609	92
988	7615	84
989	7622	76
990	7631	69
991	7637	61
992	7645	53
993	7652	46
994	7660	38
995	7666	30
996	7675	23
997	7682	15
998	7690	7
999	7697	0
